"buildingKey","floorKey","roomKey","buildingId"
"1169","1","107A^1","VUh1aHwxMTY5"
"1169","1","108^2","VUh1aHwxMTY5"
"1169","1","109^1","VUh1aHwxMTY5"
"1169","1","110^1","VUh1aHwxMTY5"
"1171F","1","111^1","VUh1aHwxMTcxRg"
"1171F","1","112^1","VUh1aHwxMTcxRg"
"1169","1","114^2","VUh1aHwxMTY5"
"1169","1","120A^1","VUh1aHwxMTY5"
"1169","1","120D^1","VUh1aHwxMTY5"
"1171F","1","121^1","VUh1aHwxMTcxRg"
"1169","1","124A^1","VUh1aHwxMTY5"
"1168","1","151A^1","VUh1aHwxMTY4"
"1168","1","151^1","VUh1aHwxMTY4"
"1168","1","153^1","VUh1aHwxMTY4"
"1168","1","155A^1","VUh1aHwxMTY4"
"1168","1","155^1","VUh1aHwxMTY4"
"1171B","1","100PC1^39","VUh1aHwxMTcxQg"
"1168","1","100PC1^77","VUh1aHwxMTY4"
"1169","1","100PC2^41","VUh1aHwxMTY5"
"1168","1","100PC3^51","VUh1aHwxMTY4"
"1169","1","100PC4^27","VUh1aHwxMTY5"
"1169","1","100S1^47","VUh1aHwxMTY5"
"1169","1","100S2^36","VUh1aHwxMTY5"
"1171F","1","101^1","VUh1aHwxMTcxRg"
"1169","1","102^1","VUh1aHwxMTY5"
"1169","1","103A^1","VUh1aHwxMTY5"
"1169","1","103B^1","VUh1aHwxMTY5"
"1171F","1","103^1","VUh1aHwxMTcxRg"
"1171F","1","105^1","VUh1aHwxMTcxRg"
"1169","1","107B^1","VUh1aHwxMTY5"
"1171F","1","107^1","VUh1aHwxMTcxRg"
"1171F","1","108^1","VUh1aHwxMTcxRg"
"1169","1","111^1","VUh1aHwxMTY5"
"1169","1","113A^1","VUh1aHwxMTY5"
"1169","1","115^1","VUh1aHwxMTY5"
"1169","1","117B^1","VUh1aHwxMTY5"
"1169","1","117^1","VUh1aHwxMTY5"
"1171F","1","118^1","VUh1aHwxMTcxRg"
"1171F","1","119^1","VUh1aHwxMTcxRg"
"1169","1","120^1","VUh1aHwxMTY5"
"1169","1","122^1","VUh1aHwxMTY5"
"1169","1","124B^1","VUh1aHwxMTY5"
"1163","1M","140CA^1","VUh1aHwxMTYz"
"1163","1M","142BB^1","VUh1aHwxMTYz"
"1168","1","152^1","VUh1aHwxMTY4"
"1168","1","154A^1","VUh1aHwxMTY4"
"1168","1","154^1","VUh1aHwxMTY4"
"1163","1M","183A^1","VUh1aHwxMTYz"
"1162","2","200E1^37","VUh1aHwxMTYy"
"1167","2","200E1^6","VUh1aHwxMTY3"
"1165","2","200PC1^16","VUh1aHwxMTY1"
"1162","2","200PC2^44","VUh1aHwxMTYy"
"1165","2","200PC3^13","VUh1aHwxMTY1"
"1162","2","200PC3^36","VUh1aHwxMTYy"
"1165","2","200PC6^4","VUh1aHwxMTY1"
"1167","2","200S2^6","VUh1aHwxMTY3"
"1165","2","200PC11^1","VUh1aHwxMTY1"
"1165","2","200PC12^1","VUh1aHwxMTY1"
"1167","2","200PC1^6","VUh1aHwxMTY3"
"1167","2","200PC4^2","VUh1aHwxMTY3"
"1162","2","200PC4^30","VUh1aHwxMTYy"
"1165","2","200S1^19","VUh1aHwxMTY1"
"1165","2","200S2^15","VUh1aHwxMTY1"
"1162","2","200S3^28","VUh1aHwxMTYy"
"1162","2","201A^1","VUh1aHwxMTYy"
"1167","2","201A^1","VUh1aHwxMTY3"
"1162","2","201B^1","VUh1aHwxMTYy"
"1162","2","201D^1","VUh1aHwxMTYy"
"1167","2","201E^1","VUh1aHwxMTY3"
"1162","2","201E^1","VUh1aHwxMTYy"
"1162","2","201F^1","VUh1aHwxMTYy"
"1162","2","201G^1","VUh1aHwxMTYy"
"1167","2","201G^1","VUh1aHwxMTY3"
"1167","2","202A^1","VUh1aHwxMTY3"
"1167","2","203AB^1","VUh1aHwxMTY3"
"1162","2","203A^1","VUh1aHwxMTYy"
"1162","2","203B^1","VUh1aHwxMTYy"
"1162","2","203E^1","VUh1aHwxMTYy"
"1162","2","203H^1","VUh1aHwxMTYy"
"1167","2","204B^1","VUh1aHwxMTY3"
"1162","2","205B^1","VUh1aHwxMTYy"
"1162","2","205E^1","VUh1aHwxMTYy"
"1162","2","205L^1","VUh1aHwxMTYy"
"1165","2","205^1","VUh1aHwxMTY1"
"1162","2","206^1","VUh1aHwxMTYy"
"1162","2","207D^1","VUh1aHwxMTYy"
"1162","2","207M^1","VUh1aHwxMTYy"
"1167","2","207^1","VUh1aHwxMTY3"
"1167","2","210^1","VUh1aHwxMTY3"
"1165","2","211^1","VUh1aHwxMTY1"
"1165","2","213AA^1","VUh1aHwxMTY1"
"1165","2","213A^1","VUh1aHwxMTY1"
"1165","2","213^1","VUh1aHwxMTY1"
"1165","2","215B^1","VUh1aHwxMTY1"
"1165","2","215C^1","VUh1aHwxMTY1"
"1165","2","215D^4","VUh1aHwxMTY1"
"1162","2","215^1","VUh1aHwxMTYy"
"1162","2","216^1","VUh1aHwxMTYy"
"1162","2","219A^1","VUh1aHwxMTYy"
"1162","2","219B^1","VUh1aHwxMTYy"
"1165","2","222A^1","VUh1aHwxMTY1"
"1167","2","223^1","VUh1aHwxMTY3"
"1167","2","224^1","VUh1aHwxMTY3"
"1167","2","226^58","VUh1aHwxMTY3"
"1165","2","231A^1","VUh1aHwxMTY1"
"1165","2","231^1","VUh1aHwxMTY1"
"1165","2","232^1","VUh1aHwxMTY1"
"1165","2","233^1","VUh1aHwxMTY1"
"1165","2","234^1","VUh1aHwxMTY1"
"1165","2","238^1","VUh1aHwxMTY1"
"1165","2","250B^1","VUh1aHwxMTY1"
"1162","2","200E2^12","VUh1aHwxMTYy"
"1162","2","200E3^5","VUh1aHwxMTYy"
"1165","2","200PC10^4","VUh1aHwxMTY1"
"1162","2","200PC1^48","VUh1aHwxMTYy"
"1165","2","200PC2^16","VUh1aHwxMTY1"
"1167","2","200PC2^6","VUh1aHwxMTY3"
"1165","2","200PC4^10","VUh1aHwxMTY1"
"1162","2","200PC6^15","VUh1aHwxMTYy"
"1165","2","200PC7^4","VUh1aHwxMTY1"
"1165","2","200S3^13","VUh1aHwxMTY1"
"1165","2","200S4^10","VUh1aHwxMTY1"
"1167","2","201D^1","VUh1aHwxMTY3"
"1162","2","201H^1","VUh1aHwxMTYy"
"1165","2","202A^1","VUh1aHwxMTY1"
"1167","2","202^1","VUh1aHwxMTY3"
"1162","2","203C^1","VUh1aHwxMTYy"
"1162","2","203D^1","VUh1aHwxMTYy"
"1162","2","203G^1","VUh1aHwxMTYy"
"1162","2","203^1","VUh1aHwxMTYy"
"1167","2","204AA^1","VUh1aHwxMTY3"
"1167","2","204A^1","VUh1aHwxMTY3"
"1167","2","204BA^1","VUh1aHwxMTY3"
"1162","2","205C^1","VUh1aHwxMTYy"
"1162","2","205^1","VUh1aHwxMTYy"
"1165","2","206A^25","VUh1aHwxMTY1"
"1162","2","207G^1","VUh1aHwxMTYy"
"1162","2","207I^1","VUh1aHwxMTYy"
"1162","2","207L^1","VUh1aHwxMTYy"
"1167","2","208^1","VUh1aHwxMTY3"
"1167","2","209^1","VUh1aHwxMTY3"
"1167","2","211^1","VUh1aHwxMTY3"
"1167","2","214^1","VUh1aHwxMTY3"
"1165","2","215A^1","VUh1aHwxMTY1"
"1167","2","215^1","VUh1aHwxMTY3"
"1167","2","217^1","VUh1aHwxMTY3"
"1165","2","237^1","VUh1aHwxMTY1"
"1165","2","252A^1","VUh1aHwxMTY1"
"1165","2","252B^1","VUh1aHwxMTY1"
"1165","2","252C^1","VUh1aHwxMTY1"
"1165","2","252D^1","VUh1aHwxMTY1"
"1171M","1","1^1","VUh1aHwxMTcxTQ"
"1162","2","200DB^1","VUh1aHwxMTYy"
"1165","2","200E1^14","VUh1aHwxMTY1"
"1167","2","200PC3^16","VUh1aHwxMTY3"
"1162","2","200PC5^24","VUh1aHwxMTYy"
"1165","2","200PC5^6","VUh1aHwxMTY1"
"1165","2","200PC8^2","VUh1aHwxMTY1"
"1165","2","200PC9^1","VUh1aHwxMTY1"
"1162","2","200S1^54","VUh1aHwxMTYy"
"1167","2","200S1^8","VUh1aHwxMTY3"
"1162","2","200S2^47","VUh1aHwxMTYy"
"1167","2","201C^1","VUh1aHwxMTY3"
"1162","2","201^1","VUh1aHwxMTYy"
"1167","2","201^1","VUh1aHwxMTY3"
"1162","2","203I^1","VUh1aHwxMTYy"
"1165","2","203^1","VUh1aHwxMTY1"
"1167","2","203^1","VUh1aHwxMTY3"
"1162","2","204^1","VUh1aHwxMTYy"
"1165","2","204^1","VUh1aHwxMTY1"
"1162","2","205G^1","VUh1aHwxMTYy"
"1162","2","205H^1","VUh1aHwxMTYy"
"1162","2","205I^1","VUh1aHwxMTYy"
"1162","2","205J^1","VUh1aHwxMTYy"
"1167","2","205^1","VUh1aHwxMTY3"
"1167","2","206^1","VUh1aHwxMTY3"
"1167","2","207A^1","VUh1aHwxMTY3"
"1162","2","207C^1","VUh1aHwxMTYy"
"1162","2","207E^1","VUh1aHwxMTYy"
"1162","2","207K^1","VUh1aHwxMTYy"
"1165","2","207^1","VUh1aHwxMTY1"
"1165","2","208^1","VUh1aHwxMTY1"
"1165","2","209A^1","VUh1aHwxMTY1"
"1162","2","210^1","VUh1aHwxMTYy"
"1162","2","211^1","VUh1aHwxMTYy"
"1162","2","212^1","VUh1aHwxMTYy"
"1165","2","212^1","VUh1aHwxMTY1"
"1165","2","214A^1","VUh1aHwxMTY1"
"1162","2","214^1","VUh1aHwxMTYy"
"1165","2","215^1","VUh1aHwxMTY1"
"1165","2","216A^12","VUh1aHwxMTY1"
"1167","2","216^1","VUh1aHwxMTY3"
"1162","2","217^1","VUh1aHwxMTYy"
"1162","2","218^1","VUh1aHwxMTYy"
"1165","2","218^86","VUh1aHwxMTY1"
"1162","2","219C^1","VUh1aHwxMTYy"
"1167","2","219^1","VUh1aHwxMTY3"
"1162","2","220^1","VUh1aHwxMTYy"
"1167","2","220^1","VUh1aHwxMTY3"
"1167","2","221^1","VUh1aHwxMTY3"
"1165","2","222^1","VUh1aHwxMTY1"
"1167","2","227^51","VUh1aHwxMTY3"
"1165","2","232A^1","VUh1aHwxMTY1"
"1165","2","235^1","VUh1aHwxMTY1"
"1165","2","239^1","VUh1aHwxMTY1"
"1165","2","251^1","VUh1aHwxMTY1"
"1165","2","252AA^1","VUh1aHwxMTY1"
"1165","2","252AB^1","VUh1aHwxMTY1"
"1165","2","252F^1","VUh1aHwxMTY1"
"1165","2","253^1","VUh1aHwxMTY1"
"1165","2","254A^3","VUh1aHwxMTY1"
"1165","2","255^1","VUh1aHwxMTY1"
"1165","2","256A^4","VUh1aHwxMTY1"
"1165","2","256^1","VUh1aHwxMTY1"
"1165","2","257A^2","VUh1aHwxMTY1"
"1165","2","201A^1","VUh1aHwxMTY1"
"1167","2","201B^1","VUh1aHwxMTY3"
"1162","2","201C^1","VUh1aHwxMTYy"
"1167","2","201F^1","VUh1aHwxMTY3"
"1165","2","201^1","VUh1aHwxMTY1"
"1162","2","202^1","VUh1aHwxMTYy"
"1165","2","202^1","VUh1aHwxMTY1"
"1167","2","203AA^1","VUh1aHwxMTY3"
"1162","2","203F^1","VUh1aHwxMTYy"
"1162","2","203J^1","VUh1aHwxMTYy"
"1162","2","203K^1","VUh1aHwxMTYy"
"1165","2","204A^24","VUh1aHwxMTY1"
"1167","2","204^1","VUh1aHwxMTY3"
"1162","2","205A^1","VUh1aHwxMTYy"
"1162","2","205D^1","VUh1aHwxMTYy"
"1162","2","205F^1","VUh1aHwxMTYy"
"1162","2","205K^1","VUh1aHwxMTYy"
"1165","2","206^1","VUh1aHwxMTY1"
"1162","2","207A^1","VUh1aHwxMTYy"
"1162","2","207B^1","VUh1aHwxMTYy"
"1167","2","207B^1","VUh1aHwxMTY3"
"1162","2","207F^1","VUh1aHwxMTYy"
"1162","2","207H^1","VUh1aHwxMTYy"
"1162","2","207J^1","VUh1aHwxMTYy"
"1162","2","207^1","VUh1aHwxMTYy"
"1162","2","208^1","VUh1aHwxMTYy"
"1162","2","209^1","VUh1aHwxMTYy"
"1165","2","209^122","VUh1aHwxMTY1"
"1165","2","210^1","VUh1aHwxMTY1"
"1167","2","212^1","VUh1aHwxMTY3"
"1162","2","213^1","VUh1aHwxMTYy"
"1167","2","213^1","VUh1aHwxMTY3"
"1165","2","214B^1","VUh1aHwxMTY1"
"1165","2","214^1","VUh1aHwxMTY1"
"1165","2","216^1","VUh1aHwxMTY1"
"1165","2","217^1","VUh1aHwxMTY1"
"1167","2","218^1","VUh1aHwxMTY3"
"1162","2","219D^1","VUh1aHwxMTYy"
"1162","2","219^1","VUh1aHwxMTYy"
